"ClientID"|"ClientFirstName"|"ClientMiddleInitial"|"ClientLastName"|"ClientSSN"|"ClientCustomID"|"ClientOtherID"|"ClientSuffix"|"Action"|"ClientLanguage"|"ClientGender"|"ClientMaritalStatus"|"ClientBirthDate"|"ClientEmail"|"ClientTimeZone"|"ClientEnrollmentDate"|"SegmentName"|"ClientAddressType"|"ClientAddressLine1"|"ClientAddressLine2"|"ClientCounty"|"ClientCity"|"ClientState"|"ClientZip"|"ClientPhoneType"|"ClientPhone"|"ClientContactType"|"ClientContactFirstName"|"ClientContactLastName"|"ClientContactPhoneType"|"ClientContactPhone"|"ClientContactEmailAddress"|"ClientContactAddressLine1"|"ClientContactAddressLine2"|"ClientContactCity"|"ClientContactState"|"ClientContactZip"|"ClientDesigneeFirstName"|"ClientDesigneeLastName"|"ClientDesigneeEmail"|"ClientDesigneeStatus"|"ClientDesigneeStartDate"|"ClientDesigneeEndDate"|"PayerID"|"PayerProgram"|"PayerService"|"PayerRegion"|"ClientEligibilityDateBegin"|"ClientEligibilityDateEnd"|"ClientStartofCareDate"|"ClientEndofCareDate"|"ClientPrimaryDiagnosisCode"|"ClientSecondaryDiagnosisCode"|"ClientStatus"|"ClientStatusDate"|"Modifier1"|"Modifier2"|"Modifier3"|"Modifier4"|"Error Description"
""|"janeU"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|""|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientAddressType length is invalid. The length should be between 1 and 12.|ERROR: The ClientAddressType format is incorrect. The record should satisfy this regular expression ['Business|Home|Other']. Invalid Value=''.|ERROR: The ClientAddressType cannot be null."
""|"janeI"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"HomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHome"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientAddressType length is invalid. The length should be between 1 and 12.|ERROR: The ClientAddressType format is incorrect. The record should satisfy this regular expression ['Business|Home|Other']. Invalid Value='HomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHome'."
""|"janeO"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 HomeHoHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomemeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHome Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientAddressLine1 length is invalid. The length should be between 1 and 30."
""|"janeP"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|"HomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHome"|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientAddressLine2 length is invalid. The length should be between 0 and 30."
""|"janeQ"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"PortHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHome washington"|"NY"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientCity length is invalid. The length should be between 1 and 30."
""|"janeZ"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NYHomeHoHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomemeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHome Park Dr"|"110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientState format is incorrect. The record should satisfy this regular expression ['AL|AK|AZ|AR|CA|CO|CT|DE|FL|GA|HI|ID|IL|IN|IA|KS|KY|LA|ME|MD|MA|MI|MN|MS|MO|MT|NE|NV|NH|NJ|NM|NY|NC|ND|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VT|VA|WA|WV|WI|WY|AS|DC|FM|GU|MH|MP|PW|PR|VI']. Invalid Value='NYHomeHoHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomemeHomeHomeHomeHomeHomeHomeHomeHomeHomeHomeHome Park Dr'.|ERROR: The ClientState length is invalid. The length should be between 2 and 2."
""|"janeX"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000110500000110500000110500000110500000110500000110500000110500000"|"Mobile"|"5555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientZip length is invalid. The length should be between 0 and 9.|ERROR: The ClientZip format is incorrect. The record should satisfy this regular expression ['^\d{5}(\d{4})?$']. Invalid Value='110500000110500000110500000110500000110500000110500000110500000110500000'."
""|"janeV"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"English (US)"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"555555123455555512345555551234555555123455555512345555551234555555123455555512345555551234"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientPhone format is incorrect. The record should satisfy this regular expression ['\d{10}']. Invalid Value='555555123455555512345555551234555555123455555512345555551234555555123455555512345555551234'.|ERROR: The ClientPhone length is invalid. The length should be between 1 and 10."
""|"janeM"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"EnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglish"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"1234567899"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientLanguage format is incorrect. The record should satisfy this regular expression ['^(English \(US\)|Ilokano \(Philippines\)|Tagalog \(Philippines\)|Chinese Traditional / Cantonese|Chinese Simplified / Mandarin|Hawaiian|Korean|Japanese|Vietnamese|Spanish|French)?$']. Invalid Value='EnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglishEnglish'.|ERROR: The ClientLanguage length is invalid. The length should be between 0 and 32."
""|"janeG"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"Chinese Simplified / Mandarin"|"T"|"T"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"1234567899"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientMaritalStatus format is incorrect. The record should satisfy this regular expression ['(M|S|W|O)?']. Invalid Value='T'.|ERROR: The ClientGender format is incorrect. The record should satisfy this regular expression ['(O|M|F)?']. Invalid Value='T'."
""|"janeL"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"Chinese Simplified / Mandarin"|"TTT"|"TTTT"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"1234567899"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientMaritalStatus format is incorrect. The record should satisfy this regular expression ['(M|S|W|O)?']. Invalid Value='TTTT'.|ERROR: The ClientMaritalStatus length is invalid. The length should be between 0 and 1.|ERROR: The ClientGender format is incorrect. The record should satisfy this regular expression ['(O|M|F)?']. Invalid Value='TTT'.|ERROR: The ClientGender length is invalid. The length should be between 0 and 1."
""|"janeJ"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"Chinese Simplified / Mandarin"|"F"|"M"|""|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"1234567899"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientBirthDate cannot be null."
""|"janeP"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"Chinese Simplified / Mandarin"|"F"|"M"|""|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|""|"Port washington"|"NY"|"110500000"|"Mobile"|"1234567899"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientCounty format is incorrect. The record should satisfy this regular expression ['01 Oahu|04 Kauai|05 Hawaii|07 Maui|08 Molokai|09 Lanai|31 Out of State']. Invalid Value=''.|ERROR: The ClientCounty cannot be null.|ERROR: The ClientBirthDate cannot be null."
""|"janeS"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"Chinese Simplified / Mandarin"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"2019-02-02"|""|"Home"|"26 Harbor Park Dr"|""|"99"|"Port washington"|"NY"|"110500000"|"Mobile"|"1234567899"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientCounty format is incorrect. The record should satisfy this regular expression ['01 Oahu|04 Kauai|05 Hawaii|07 Maui|08 Molokai|09 Lanai|31 Out of State']. Invalid Value='99'."
""|"janeKL"|"t"|"doe"|""|"0123456789"|"0123456789"|""|"A"|"Chinese Simplified / Mandarin"|"F"|"M"|"1961-01-04"|"xxx@gmail.com"|"US/Hawaii"|"01/01/2019"|""|"Home"|"26 Harbor Park Dr"|""|"01 Oahu"|"Port washington"|"NY"|"110500000"|"Mobile"|"1234567899"|"Family"|"test"|"testcd"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"ERROR: The ClientEnrollmentDate format is incorrect. The record should satisfy the date format ['yyyy-MM-dd']. Invalid Value='01/01/2019'."
